Country,Region,year,Happiness score,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Confidence in national government,"GINI index (World Bank estimate), average 2000-2017, unbalanced panel","gini of household income reported in Gallup, by wp5-year"
Malawi,Sub-Saharan Africa,2019,3.41,0.191,0.56,0.495,0.44300000000000000,0.218,0.08900000000000000,7.077061176,0.5489560960000000,58.29999924,0.7648642060000000,-0.00897665,0.680247962,0.574215412,0.433666667,0.6515251990000000
Malaysia,Southeast Asia,2019,5.3390000000000000,1.2210000000000000,1.171,0.828,0.508,0.26,0.024,10.27810955,0.8424988390000000,67.19999695,0.915778697,0.11263856300000000,0.781943917,0.7168072460000000,0.439833333,0.43687230300000000
Mali,Sub-Saharan Africa,2019,4.39,0.385,1.105,0.308,0.327,0.153,0.052000000000000000,7.6476111410000000,0.754558086,52.20000076,0.67040509,-0.035747863,0.846340001,0.47874850000000000,0.372666667,0.577174187
Malta,Western Europe,2019,6.726,1.3,1.52,0.9990000000000000,0.564,0.375,0.151,,0.9215785260000000,72.19999695,0.923966825,,0.689410567,0.704372525,0.2911,0.398402274
Mauritania,Sub-Saharan Africa,2019,4.49,0.57,1.167,0.489,0.066,0.106,0.08800000000000000,8.260736465,0.798101962,57.29999924,0.627505183,-0.086984366,0.742890298,0.311262429,0.36875,0.46020886300000000
Mauritius,Sub-Saharan Africa,2019,5.888,1.12,1.402,0.7980000000000000,0.498,0.215,0.06,9.993567467,0.913134277,66.69999695,0.8931578990000000,-0.057729602000000000,0.81020081,0.634860456,0.371,0.42965081300000000
Mexico,Latin America and Caribbean,2019,6.595,1.07,1.3230000000000000,0.861,0.433,0.07400000000000000,0.073,9.794093132,0.851685822,68.59999847,0.903384447,-0.142210066,0.808537602,0.495231152,0.4945,0.502125323
Moldova,Commonwealth of Independent States,2019,5.529,0.685,1.328,0.7390000000000000,0.245,0.18100000000000000,0.0,8.812314987,0.8091670870000000,65.69999695,0.783664584,-0.052003801000000000,0.8838225010000000,0.307176173,0.322333333,0.430704236
Mongolia,East Asia,2019,5.285,0.948,1.531,0.667,0.317,0.235,0.038,9.462425232000000,0.945758104,62.5,0.71067518,0.1379769,0.8731669190000000,0.21443036200000000,0.33400000000000000,0.38330757600000000
Montenegro,Central and Eastern Europe,2019,5.523,1.051,1.361,0.871,0.19700000000000000,0.142,0.08,9.785822868,0.831624925,68.69999695,0.694162488,-0.099860184,0.81999737,0.405451059,0.3094,0.364203513
Morocco,Middle East and North Africa,2019,5.208000000000000,0.8010000000000000,0.782,0.782,0.418,0.036000000000000000,0.076,8.957014084000000,0.534804046,66.19999695,0.756747842,-0.253734678,0.756867409,,0.40266666700000000,0.7735849020000000
Mozambique,Sub-Saharan Africa,2019,4.466,0.204,0.986,0.39,0.494,0.19700000000000000,0.138,7.063976765,0.7423037290000000,55.20000076,0.8698102240000000,0.074626893,0.681900442,0.794083238,0.48866666700000000,0.597354352
Myanmar,Southeast Asia,2019,4.36,0.71,1.181,0.555,0.525,0.5660000000000000,0.172,8.743660927,0.762994885,59.29999924,0.899064302,0.54014802,0.681795835,0.850427508,0.381,0.429513514
Namibia,Sub-Saharan Africa,2019,4.639000000000000,0.879,1.3130000000000000,0.47700000000000000,0.401,0.07,0.056000000000000000,9.18999958,0.8445921540000000,56.79999924,0.7390345340000000,-0.18228857200000000,0.879070699,0.559563875,0.6113333330000000,0.698699176
Nepal,South Asia,2019,4.913,0.446,1.226,0.677,0.439,0.285,0.08900000000000000,7.962741375,0.7722730640000000,64.59999847,0.790347695,0.17357698100000000,0.711842477,0.6319851880000000,0.38300000000000000,0.445139289
Netherlands,Western Europe ,2019,7.4880000000000000,1.396,1.5220000000000000,0.9990000000000000,0.557,0.322,0.298,10.82656479,0.9414774780000000,72.40000153,0.88559252,0.212004393,0.36006811300000000,0.6165722610000000,0.286333333,0.457717896
New Zealand,North America and ANZ,2019,7.307,1.3030000000000000,1.557,1.026,0.585,0.33,0.38,10.50888348,0.938821197,73.40000153,0.9120423790000000,0.15882951,0.233831227,0.67520082,,0.451655388
Nicaragua,Latin America and Caribbean,2019,6.105,0.6940000000000000,1.325,0.835,0.435,0.2,0.127,8.434353828000000,0.873863935,67.80000305,0.882678449,0.034327205,0.62198174,0.514429927,0.4795,0.465848118
Niger,Sub-Saharan Africa,2019,4.628,0.138,0.774,0.366,0.318,0.188,0.102,6.863078117000000,0.67695874,54.0,0.83136189,0.038939893000000000,0.7288551330000000,0.730674267,0.36875,0.597251475
